Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-24_05:28:29.823618,212.68931,17.928265,213.059792519,18.0099391937
2026-04-24_05:28:30.324299,212.692425,17.927326,213.06620121,18.0118484497
2026-04-24_05:28:52.857698,212.783474,17.928906,213.15223217,18.0115852356
2026-04-24_05:28:53.358465,212.785455,17.929113,213.163933754,18.0115852356
2026-04-24_05:29:16.893340,213.887615,18.972207,214.240350723,19.0573215485
2026-04-24_05:29:17.394066,213.887974,18.972261,214.240078926,19.057472229
2026-04-24_05:29:42.431239,213.886309,18.972799,214.240250587,19.0573348999
2026-04-24_05:29:42.932006,213.886638,18.9724,214.240450859,19.0572605133
2026-04-24_05:30:08.970505,213.885627,18.972459,214.24050808,19.05727005
2026-04-24_05:30:09.471348,213.886243,18.972032,214.24050808,19.0572147369
2026-04-24_05:30:36.511369,213.886361,18.971811,214.240150452,19.0574378967
2026-04-24_05:30:37.012152,213.885552,18.972167,214.23995018,19.0575351715
2026-04-24_05:31:05.053712,213.885529,18.97239,214.240250587,19.0573863983
2026-04-24_05:31:05.554466,213.885597,18.972408,214.240036011,19.057472229
2026-04-24_05:31:34.597574,213.88614,18.972913,214.23989296,19.0575313568
2026-04-24_05:31:35.098268,213.885489,18.972956,214.239692688,19.0575771332
2026-04-24_05:32:04.642052,213.885078,18.973226,214.239749908,19.0576286316
2026-04-24_05:32:05.142775,213.884836,18.973291,214.239807129,19.057598114
2026-04-24_05:32:36.188817,213.885401,18.973099,214.239706993,19.0576686859
2026-04-24_05:32:36.689503,213.885406,18.97343,214.239692688,19.0576496124
2026-04-24_05:33:08.236316,213.884575,18.97299,214.240193367,19.0573596954
2026-04-24_05:33:08.737040,213.884195,18.972906,214.240293503,19.0572528839
2026-04-24_05:33:41.786000,213.884348,18.973262,214.239592552,19.0577087402
2026-04-24_05:33:42.286787,213.883353,18.973517,214.239664078,19.0576610565
2026-04-24_05:34:15.836432,213.88371,18.973386,214.239621162,19.0577468872
2026-04-24_05:34:16.337279,213.88344,18.973974,214.240136147,19.0574626923
2026-04-24_05:34:51.389181,213.883173,18.973451,214.240164757,19.0573997498
2026-04-24_05:34:51.889931,213.882927,18.973551,214.240164757,19.057477951
2026-04-24_05:35:27.442619,213.882771,18.973295,214.239935875,19.057554245
2026-04-24_05:35:27.943320,213.882381,18.973532,214.240121841,19.0574092865
2026-04-24_05:36:04.998299,213.881982,18.973604,214.239492416,19.0577888489
2026-04-24_05:36:05.499035,213.881679,18.973861,214.240236282,19.0573616028
2026-04-24_05:36:43.555364,213.88165,18.973725,214.23936367,19.0578861237
2026-04-24_05:36:44.056154,213.88104,18.974087,214.239878654,19.0575199127
2026-04-24_05:37:23.114087,213.880595,18.974024,214.240264893,19.0573387146
2026-04-24_05:37:23.614777,213.881281,18.973649,214.239935875,19.0574760437
2026-04-24_05:38:03.674120,213.880883,18.973421,214.23997879,19.057477951
2026-04-24_05:38:04.174907,213.880234,18.973645,214.239535332,19.0577831268
2026-04-24_05:38:45.235795,213.880155,18.973413,214.239678383,19.0576324463
2026-04-24_05:38:45.736520,213.879503,18.973529,214.240407944,19.0572910309
2026-04-24_05:39:27.798802,213.879934,18.973281,214.239778519,19.0576343536
2026-04-24_05:39:28.299574,213.879354,18.973746,214.240021706,19.0574626923
2026-04-24_05:40:11.363447,213.879208,18.973969,214.240107536,19.0574798584
2026-04-24_05:40:11.864176,213.87904,18.973974,214.239764214,19.057598114
2026-04-24_05:40:55.929467,213.878067,18.973484,214.240050316,19.0575122833
2026-04-24_05:40:56.430164,213.878092,18.973541,214.240179062,19.0574035645
2026-04-24_05:41:40.996205,213.877874,18.973714,214.240493774,19.0571918488
2026-04-24_05:41:41.497042,213.878274,18.973333,214.240279198,19.0573577881
2026-04-24_05:42:27.565305,213.877453,18.973805,214.240465164,19.0571899414
2026-04-24_05:42:28.066046,213.878261,18.973897,214.240407944,19.0571956635
2026-04-24_05:43:15.135799,213.876014,18.973286,214.240064621,19.0574092865
2026-04-24_05:43:15.636563,213.875947,18.973148,214.239850044,19.0575580597
2026-04-24_05:44:03.707744,213.875919,18.973135,214.23997879,19.0575122833
2026-04-24_05:44:04.208621,213.87571,18.97318,214.239993095,19.0575084686
2026-04-24_05:44:53.281254,213.875367,18.973326,214.240365028,19.0572566986
2026-04-24_05:44:53.782097,213.875168,18.97344,214.239592552,19.0578041077
2026-04-24_05:45:43.355536,213.874108,18.973824,214.240121841,19.0573577881
2026-04-24_05:45:43.856321,213.874709,18.973421,214.239563942,19.0577354431
2026-04-24_05:46:34.932124,213.873621,18.973363,214.240164757,19.0574169159
2026-04-24_05:46:35.432779,213.873868,18.973275,214.239835739,19.0576057434
2026-04-24_05:47:27.510033,213.873102,18.973466,214.240236282,19.0573482513
2026-04-24_05:47:28.010832,213.873104,18.973498,214.240365028,19.0572299957
2026-04-24_05:48:20.588822,213.872724,18.973738,214.240064621,19.0574607849
2026-04-24_05:48:21.089472,213.872587,18.973884,214.240179062,19.0573749542
2026-04-24_05:49:14.668946,213.872505,18.97444,214.239835739,19.0575904846
2026-04-24_05:49:15.169710,213.872816,18.974561,214.239878654,19.0575809479
2026-04-24_05:50:09.750613,213.871159,18.974852,214.240322113,19.0573062897
2026-04-24_05:50:10.251405,213.87173,18.974557,214.23995018,19.0575256348
2026-04-24_05:50:12.754994,213.871612,18.974134,214.239878654,19.0575618744
2026-04-24_05:50:15.759581,213.87128,18.97432,214.239864349,19.0576000214
2026-04-24_05:50:19.264747,213.871295,18.973942,214.240350723,19.0572681427
2026-04-24_05:50:22.769881,213.871213,18.974145,214.240293503,19.057346344
2026-04-24_05:50:25.774391,213.870687,18.974548,214.240164757,19.0573787689
2026-04-24_05:50:31.783324,213.870821,18.974409,214.239964485,19.0575618744
2026-04-24_05:50:32.284065,213.870698,18.974568,214.240150452,19.0573806763
2026-04-24_05:50:41.297418,213.870957,18.973997,214.239864349,19.0575866699
2026-04-24_05:50:41.798188,213.870722,18.974381,214.240121841,19.0574512482
2026-04-24_05:50:51.812964,213.870305,18.974143,214.240078926,19.057472229
2026-04-24_05:50:52.313756,213.87028,18.974206,214.240107536,19.0573959351
2026-04-24_05:51:03.330113,213.870236,18.973952,214.240221977,19.0574188232
2026-04-24_05:51:03.830827,213.870382,18.973849,214.240150452,19.0574035645
2026-04-24_05:51:15.848613,213.870027,18.973893,214.240307808,19.0572891235
2026-04-24_05:51:16.349353,213.870353,18.97363,214.239850044,19.0576515198
2026-04-24_05:51:29.368682,213.869702,18.973672,214.23992157,19.0575618744
2026-04-24_05:51:29.869428,213.869451,18.973744,214.239706993,19.057723999
2026-04-24_05:51:43.890177,213.869217,18.97369,214.23992157,19.0575523376
2026-04-24_05:51:44.390970,213.868953,18.97378,214.239935875,19.0574951172
2026-04-24_05:51:59.413177,213.869118,18.973391,214.239864349,19.0575904846
2026-04-24_05:51:59.913937,213.86893,18.973662,214.240021706,19.0574760437
2026-04-24_05:52:15.937700,213.868764,18.973434,214.23992157,19.0575866699
2026-04-24_05:52:16.438461,213.868505,18.973441,214.240078926,19.0574817657
2026-04-24_05:52:33.463734,213.868265,18.973578,214.239821434,19.0576057434
2026-04-24_05:52:33.964454,213.868226,18.973452,214.240221977,19.057384491
2026-04-24_05:52:51.991139,213.868253,18.973136,214.239463806,19.057844162
2026-04-24_05:52:52.491943,213.867667,18.973639,214.239792824,19.0575504303
